SL NO.,Title,Authors,Published Year,Abstract,Paper Link
32,Impact of Feature Selection Techniques on the Performance of Machine Learning Models for Depression Detection Using EEG Data,"Marwa Hassan, Naima Kaabouch",15 November 2024,"Abstract

Major depressive disorder (MDD) poses a significant challenge in mental healthcare due to difficulties in accurate diagnosis and timely identification. This study explores the potential of machine learning models trained on EEG-based features for depression detection. Six models and six feature selection techniques were compared, highlighting the crucial role of feature selection in enhancing classifier performance. This study investigates the six feature selection methods: Elastic Net, Mutual Information (MI), Chi-Square, Forward Feature Selection with Stochastic Gradient Descent (FFS-SGD), Support Vector Machine-based Recursive Feature Elimination (SVM-RFE), and Minimal-Redundancy-Maximal-Relevance (mRMR). These methods were combined with six diverse classifiers: Logistic Regression, Support Vector Machine (SVM), Random Forest, Extreme Gradient Boosting (XGBoost), Categorical Boosting (CatBoost), and Light Gradient Boosting Machine (LightGBM). The results demonstrate the substantial impact of feature selection on model performance. SVM-RFE with SVM achieved the highest accuracy (93.54%) and F1 score (95.29%), followed by Logistic Regression with an accuracy of 92.86% and F1 score of 94.84%. Elastic Net also delivered strong results, with SVM and Logistic Regression both achieving 90.47% accuracy. Other feature selection methods yielded lower performance, emphasizing the importance of selecting appropriate feature selection and machine learning algorithms. These findings suggest that careful selection and application of feature selection techniques can significantly enhance the accuracy of EEG-based depression detection.",https://www.mdpi.com/2076-3417/14/22/10532
33,"Tengfei Zhou 1, 2 Email 17554147744@ 163. com Xinming Tian 2 Jifeng Li 2 A Wenyan Xiong 1✉",T Zhou,N/A,https://assets-eu.researchsquare.com/files/rs-7856538/v1/71147d7e5f1c668ec95cbcbc.html,https://assets-eu.researchsquare.com/files/rs-7856538/v1/71147d7e5f1c668ec95cbcbc.html
34,Optimizing myopia prediction in children and adolescents using machine learning: a multi-factorial risk assessment model,"Yue Xi, Wei Zhu, Wenjing Yan, Xiaobin Wei, Qian Zhao, Shengting Dai",2025/11/13,"Abstract

Background: Most previous studies on myopia in children and adolescents have primarily focused on genetic and environmental factors. This study aimed to explore modifiable behavioral, sociodemographic, and psychological contributors to myopia and to evaluate the potential of machine learning (ML) models in identifying at-risk individuals.

Methods: A cross-sectional survey was conducted in eight primary and secondary schools in a Chinese province between October and December 2023. The dataset was split into training and testing sets (7:3). LASSO regression identified potential predictors, followed by multivariate logistic regression to determine independent risk factors. Ten machine learning algorithms were used to build prediction models: logistic regression, support vector machine (SVM), gradient boosting machine (GBM), neural network (NNET), extreme gradient boosting (XGBoost), k-nearest neighbors (KNN), random forest adaptive boosting (AdaBoost), LightGBM, and CatBoost. Model performance was evaluated using accuracy, F1 score, specificity, sensitivity, and area under the receiver operating characteristic (ROC) curve (AUC). SHapley Additive exPlanations (SHAP) were used to interpret variable contributions in the best-performing model.

Results: The study included 2,086 children and adolescents (mean age 9.8 ± 2.7 years; 50.5% female), with an overall myopia prevalence of 25.12%. Independent risk factors for myopia included parental myopia, only-child status, physical activity level, mother’s education level, age, and physical activity behavior. Among all models, the LightGBM algorithm achieved the best predictive performance (AUC = 0.738, 95% CI: 0.709–0.767). SHAP analysis identified parental myopia, physical activity level, only-child status, and physical activity behavior as the most influential predictors.

Conclusion: Although ML models showed limited predictive accuracy, they helped identify modifiable risk factors associated with childhood and adolescent myopia. These findings may inform the design of targeted prevention strategies and early behavioral interventions rather than serve as clinical diagnostic tools.",https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1672432/full
30,www.tandfonline.com,,N/A,https://www.tandfonline.com/doi/abs/10.1080/17538947.2024.2359565,https://www.tandfonline.com/doi/abs/10.1080/17538947.2024.2359565
35,www.tandfonline.com,,N/A,https://www.tandfonline.com/doi/abs/10.1080/00219592.2025.2560443,https://www.tandfonline.com/doi/abs/10.1080/00219592.2025.2560443
36,Interpreting the relationship between properties of wood and pulping & paper via machine learning algorithms combined with SHAP analysis,"Xing Liu, Jie Hong, Mingming Zhang, Liang Zhou","January 3, 2025","Abstract

The pulping ability and quality of paper high relay on the wood properties. However, the relationship between them are profound. Based on the extracting digital information from the anatomical, chemical, and physical properties of poplar wood, predictive models were developed for paper properties (tensile index, burst index and tear index) and pulping properties (Kappa number and pulp yield) using six algorithms, namely PLSR, ENR, RF, XGBoost, LightGBM, and CatBoost. The prediction results revealed that among the six algorithms, PLSR, ENR, and RF exhibited results of most prediction greater than 0.79. Notably, XGBoost, LightGBM, and CatBoost algorithms demonstrated superior predictive performance, with results greater than 0.9, except for the tear index. Furthermore, SHAP analysis suggested that the cellulose content is the primary factors to modulate pulping ability and the morphological features of cell wall shows apparent effects on mechanical properties of paper. It hopes the result will benefit to provide information to evaluate the value of poplar wood from different resources and then deliver instructions to genetic breeding program and forest management of poplar plantation.",https://www.degruyterbrill.com/document/doi/10.1515/npprj-2024-0066/html
37,Development of robust machine learning models to estimate hydrochar higher heating value and yield based upon biomass proximate analysis,"Guoliang Hou, Ahmad Alkhayyat, Ahmad Almalkawi, Anupam Yadav, H. S. Shreenidhi, Vishnu Saini, Shirin Shomurotova, Devendra Singh, Vatsal Jain, Aseel Smerat, Ahmad Khalid",03 December 2025,"Abstract
This study introduces a robust machine learning framework for predicting hydrochar yield and higher heating value (HHV) using biomass proximate analysis. A curated dataset of 481 samples was assembled, featuring input variables such as fixed carbon, volatile matter, ash content, reaction time, temperature, and water content. Hydrochar yield and HHV served as the target outputs. To enhance data quality, Monte Carlo Outlier Detection (MCOD) was employed to eliminate anomalous entries. Thirteen machine learning algorithms, including convolutional neural networks (CNN), linear regression, decision trees, and advanced ensemble methods (CatBoost, LightGBM, XGBoost) were systematically compared. CatBoost demonstrated superior performance, achieving an R2 of 0.98 and mean squared error (MSE) of 0.05 for HHV prediction, and an R2 of 0.94 with MSE of 0.03 for yield estimation. SHAP analysis identified ash content as the most influential feature for HHV prediction, while temperature, water content, and fixed carbon were key drivers of yield. These results validate the effectiveness of gradient boosting models, particularly CatBoost, in accurately modeling hydrothermal carbonization outcomes and supporting data-driven biomass valorization strategies.",https://link.springer.com/article/10.1186/s40643-025-00979-1
31,www.tandfonline.com,,N/A,https://www.tandfonline.com/doi/abs/10.2147/CIA.S607232,https://www.tandfonline.com/doi/abs/10.2147/CIA.S607232
38,Smart Pricing in Online Marketplaces: A Machine Learning and Analytics Framework,"Faysal Ahmed, Humayra Akter, Afranan Bintha Rahman, Arindam Chatterjee, T. M. Shahriar Sazzad",2025,"Abstract

Accurately predicting prices of electronic devices in online marketplaces is essential for keeping prices fair and competitive. For sellers, it supports to set prices that are attractive to buyers after keeping profit. For buyers, it helps to ensure that they pay a fair amount for the actual value of the product. As e-commerce is growing continuously, such data-driven pricing has become important for decision-making on both sides of the market. This research focuses on laptops and represents a machine learning-based approach to estimate prices using hardware specifications. In total, fourteen regression models are evaluated. The proposed stacked ensemble model which is combining Linear Regression, Ridge Regression, RANSAC Regression, Decision Tree and Histogram-Based Gradient Boosting achieved the best performance with the value of $\mathbf{R}^{\mathbf{2}} \mathbf{8 6 3 3}$. To make it practical, the final model is deployed as a Streamlit web application, which allows users to enter laptop specifications and give real-time price predictions. Although this work focuses on laptops, the same approach can be extended to other electronic devices. Therefore, it is a flexible and scalable pricing tool for e-commerce platforms.",https://ieeexplore.ieee.org/abstract/document/11367595/
39,Estimating solubility of nitrogen in various ionic liquids: application of machine-learning,"Kassem Al Attabi, Farzona Alimova, Anupam Yadav, H. S. Shreenidhi, Abhinav Kumar, Devendra Singh, Vatsal Jain, Zainab Ahmed Hamodi, Aseel Smerat, Ahmad Khalid",16 February 2026,"Abstract
The limited solubility of nitrogen (N2) in conventional solvents such as water severely restricts the efficiency of ammonia synthesis, motivating the search for alternative media. Ionic liquids (ILs), with their tunable physicochemical properties, offer a promising solution, yet the vast chemical diversity of cations and anions makes experimental screening highly complex. This study aims to develop robust machine-learning models capable of accurately predicting N2 solubility in diverse ILs using COSMO-based descriptors. A comprehensive set of algorithms, including Artificial Neural Networks (ANNs), Convolutional Neural Networks (CNNs), Random Forests, CatBoost, Support Vector Regression (SVR), and others underwent training and validation with a dataset comprising 385 points in total, with performance assessed via numerous metrics and visual analyses. The results demonstrate that ANN, CNN, Random Forest, CatBoost, and SVR achieved superior predictive performance, with SHAP analysis identifying pressure and specific descriptors (e.g., S5) as dominant factors influencing solubility. The novelty of this work lies in integrating advanced ML models with interpretable SHAP-based analysis, providing both predictive accuracy and mechanistic insights into N2–IL interactions. While challenges remain due to the limited size of available datasets and the immense diversity of IL structures, this study highlights the potential of data-driven approaches to accelerate IL design. Future perspectives include expanding experimental databases and incorporating hybrid physics-informed ML frameworks to further enhance generalizability and guide rational IL development for energy and environmental applications.",https://link.springer.com/article/10.1007/s11696-025-04623-2
32,Impact of Feature Selection Techniques on the Performance of Machine Learning Models for Depression Detection Using EEG Data,"Marwa Hassan, Naima Kaabouch",15 November 2024,"Abstract

Major depressive disorder (MDD) poses a significant challenge in mental healthcare due to difficulties in accurate diagnosis and timely identification. This study explores the potential of machine learning models trained on EEG-based features for depression detection. Six models and six feature selection techniques were compared, highlighting the crucial role of feature selection in enhancing classifier performance. This study investigates the six feature selection methods: Elastic Net, Mutual Information (MI), Chi-Square, Forward Feature Selection with Stochastic Gradient Descent (FFS-SGD), Support Vector Machine-based Recursive Feature Elimination (SVM-RFE), and Minimal-Redundancy-Maximal-Relevance (mRMR). These methods were combined with six diverse classifiers: Logistic Regression, Support Vector Machine (SVM), Random Forest, Extreme Gradient Boosting (XGBoost), Categorical Boosting (CatBoost), and Light Gradient Boosting Machine (LightGBM). The results demonstrate the substantial impact of feature selection on model performance. SVM-RFE with SVM achieved the highest accuracy (93.54%) and F1 score (95.29%), followed by Logistic Regression with an accuracy of 92.86% and F1 score of 94.84%. Elastic Net also delivered strong results, with SVM and Logistic Regression both achieving 90.47% accuracy. Other feature selection methods yielded lower performance, emphasizing the importance of selecting appropriate feature selection and machine learning algorithms. These findings suggest that careful selection and application of feature selection techniques can significantly enhance the accuracy of EEG-based depression detection.",https://www.mdpi.com/2076-3417/14/22/10532
33,"Tengfei Zhou 1, 2 Email 17554147744@ 163. com Xinming Tian 2 Jifeng Li 2 A Wenyan Xiong 1✉",T Zhou,N/A,https://assets-eu.researchsquare.com/files/rs-7856538/v1/71147d7e5f1c668ec95cbcbc.html,https://assets-eu.researchsquare.com/files/rs-7856538/v1/71147d7e5f1c668ec95cbcbc.html
40,An extensive experimental analysis for heart disease prediction using artificial intelligence techniques,"D. Rohan, G. Pradeep Reddy, Y. V. Pavan Kumar, K. Purna Prakash, Ch. Pradeep Reddy",20 February 2025,"Abstract
The heart is an important organ that plays a crucial role in maintaining life. Unfortunately, heart disease is one of the major causes of mortality globally. Early and accurate detection can significantly improve the situation by enabling preventive measures and personalized healthcare recommendations. Artificial intelligence is emerging as a powerful tool for healthcare applications, particularly in predicting heart diseases. Researchers are actively working on this, but challenges remain in achieving accurate heart disease prediction. Therefore, experimenting with various models to identify the most effective one for heart disease prediction is crucial. In this view, this paper addresses this need by conducting an extensive investigation of various models. The proposed research considered 11 feature selection techniques and 21 classifiers for the experiment. The feature selection techniques considered for the research are Information Gain, Chi-Square Test, Fisher Discriminant Analysis (FDA), Variance Threshold, Mean Absolute Difference (MAD), Dispersion Ratio, Relief, LASSO, Random Forest Importance, Linear Discriminant Analysis (LDA), and Principal Component Analysis (PCA). The classifiers considered for the research are Logistic Regression, Decision Tree, Random Forest, K-Nearest Neighbors (KNN), Support Vector Machine (SVM), Gaussian Naïve Bayes (GNB), XGBoost, AdaBoost, Stochastic Gradient Descent (SGD), Gradient Boosting Classifier, Extra Tree Classifier, CatBoost, LightGBM, Multilayer Perceptron (MLP), Recurrent Neural Network (RNN), Long Short-Term Memory (LSTM), Gated Recurrent Unit (GRU), Bidirectional LSTM (BiLSTM), Bidirectional GRU (BiGRU), Convolutional Neural Network (CNN), and Hybrid Model (CNN, RNN, LSTM, GRU, BiLSTM, BiGRU). Among all the extensive experiments, XGBoost outperformed all others, achieving an accuracy of 0.97, precision of 0.97, sensitivity of 0.98, specificity of 0.98, F1 score of 0.98, and AUC of 0.98.",https://www.nature.com/articles/s41598-025-90530-1
34,Optimizing myopia prediction in children and adolescents using machine learning: a multi-factorial risk assessment model,"Yue Xi, Wei Zhu, Wenjing Yan, Xiaobin Wei, Qian Zhao, Shengting Dai",2025/11/13,"Abstract

Background: Most previous studies on myopia in children and adolescents have primarily focused on genetic and environmental factors. This study aimed to explore modifiable behavioral, sociodemographic, and psychological contributors to myopia and to evaluate the potential of machine learning (ML) models in identifying at-risk individuals.

Methods: A cross-sectional survey was conducted in eight primary and secondary schools in a Chinese province between October and December 2023. The dataset was split into training and testing sets (7:3). LASSO regression identified potential predictors, followed by multivariate logistic regression to determine independent risk factors. Ten machine learning algorithms were used to build prediction models: logistic regression, support vector machine (SVM), gradient boosting machine (GBM), neural network (NNET), extreme gradient boosting (XGBoost), k-nearest neighbors (KNN), random forest adaptive boosting (AdaBoost), LightGBM, and CatBoost. Model performance was evaluated using accuracy, F1 score, specificity, sensitivity, and area under the receiver operating characteristic (ROC) curve (AUC). SHapley Additive exPlanations (SHAP) were used to interpret variable contributions in the best-performing model.

Results: The study included 2,086 children and adolescents (mean age 9.8 ± 2.7 years; 50.5% female), with an overall myopia prevalence of 25.12%. Independent risk factors for myopia included parental myopia, only-child status, physical activity level, mother’s education level, age, and physical activity behavior. Among all models, the LightGBM algorithm achieved the best predictive performance (AUC = 0.738, 95% CI: 0.709–0.767). SHAP analysis identified parental myopia, physical activity level, only-child status, and physical activity behavior as the most influential predictors.

Conclusion: Although ML models showed limited predictive accuracy, they helped identify modifiable risk factors associated with childhood and adolescent myopia. These findings may inform the design of targeted prevention strategies and early behavioral interventions rather than serve as clinical diagnostic tools.",https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1672432/full
41,www.tandfonline.com,,N/A,https://www.tandfonline.com/doi/abs/10.1080/10255842.2025.2570510,https://www.tandfonline.com/doi/abs/10.1080/10255842.2025.2570510
35,www.tandfonline.com,,N/A,https://www.tandfonline.com/doi/abs/10.1080/00219592.2025.2560443,https://www.tandfonline.com/doi/abs/10.1080/00219592.2025.2560443
42,Research on fall prediction in elderly patients with chronic diseases based on explainable machine learning: an aging perspective,"Qin Zhang, Yuting Yang, Qiyan Hou, Qingying Shi, Yaolin Yi, Xinyan Gan, Xiang Gao",09 February 2026,"Abstract

Background
With the increasingly serious trend of population aging in China, falls have become a critical public health issue endangering the health of older adults. The objective of this study was to develop an explainable machine learning model to elucidate the key factors influencing falls among elderly patients with chronic diseases.

Methods
This study was based on the 2018 follow-up data of the Chinese Longitudinal Health Longevity Survey (CLHLS), selecting aged 65 years and older patients with chronic diseases as the research subjects. This study established ten machine learning models for predicting falls in elderly patients with chronic diseases, including the Logistic Regression model, Random Forest (RF) model, K-Nearest Neighbor (KNN) model, Support Vector Machine (SVM) model, Gradient Boosting Machine (GBM) model, Neural Network (NNET) model, Extreme Gradient Boosting (Xgboost) model, Light Gradient Boosting Machine (LightGBM) model, Category Feature Gradient Boosting (CatBoost) model, and Adaptive Boosting (Adaboost) model. The receiver operating characteristic (ROC) curve and decision curve analysis (DCA) were utilized to assess the model, while the importance of optimal model features was analyzed using the SHapley Additive exPlanations (SHAP) algorithm to enhance model transparency and explanation.

Results
Ten characteristic variables were determined by Lasso regression analysis and multivariable logistic regression to build the machine learning model. Model comparisons showed that GBM performed best, with an AUC of 0.844, accuracy of 0.794, and specificity of 0.967. SHAP analysis revealed that the top three characteristics of contribution included self-rated health status, basic activities of daily living (BADL) disorder and housing damage.

Conclusions
Among the machine learning models established based on the CLHLS database that can predict falls in elderly patients with chronic diseases, the GBM model demonstrates superior overall performance. The SHAP algorithm enhances the interpretability of GBM model.",https://link.springer.com/article/10.1186/s12877-026-07090-w
36,Interpreting the relationship between properties of wood and pulping & paper via machine learning algorithms combined with SHAP analysis,"Xing Liu, Jie Hong, Mingming Zhang, Liang Zhou","January 3, 2025","Abstract

The pulping ability and quality of paper high relay on the wood properties. However, the relationship between them are profound. Based on the extracting digital information from the anatomical, chemical, and physical properties of poplar wood, predictive models were developed for paper properties (tensile index, burst index and tear index) and pulping properties (Kappa number and pulp yield) using six algorithms, namely PLSR, ENR, RF, XGBoost, LightGBM, and CatBoost. The prediction results revealed that among the six algorithms, PLSR, ENR, and RF exhibited results of most prediction greater than 0.79. Notably, XGBoost, LightGBM, and CatBoost algorithms demonstrated superior predictive performance, with results greater than 0.9, except for the tear index. Furthermore, SHAP analysis suggested that the cellulose content is the primary factors to modulate pulping ability and the morphological features of cell wall shows apparent effects on mechanical properties of paper. It hopes the result will benefit to provide information to evaluate the value of poplar wood from different resources and then deliver instructions to genetic breeding program and forest management of poplar plantation.",https://www.degruyterbrill.com/document/doi/10.1515/npprj-2024-0066/html
37,Development of robust machine learning models to estimate hydrochar higher heating value and yield based upon biomass proximate analysis,"Guoliang Hou, Ahmad Alkhayyat, Ahmad Almalkawi, Anupam Yadav, H. S. Shreenidhi, Vishnu Saini, Shirin Shomurotova, Devendra Singh, Vatsal Jain, Aseel Smerat, Ahmad Khalid",03 December 2025,"Abstract
This study introduces a robust machine learning framework for predicting hydrochar yield and higher heating value (HHV) using biomass proximate analysis. A curated dataset of 481 samples was assembled, featuring input variables such as fixed carbon, volatile matter, ash content, reaction time, temperature, and water content. Hydrochar yield and HHV served as the target outputs. To enhance data quality, Monte Carlo Outlier Detection (MCOD) was employed to eliminate anomalous entries. Thirteen machine learning algorithms, including convolutional neural networks (CNN), linear regression, decision trees, and advanced ensemble methods (CatBoost, LightGBM, XGBoost) were systematically compared. CatBoost demonstrated superior performance, achieving an R2 of 0.98 and mean squared error (MSE) of 0.05 for HHV prediction, and an R2 of 0.94 with MSE of 0.03 for yield estimation. SHAP analysis identified ash content as the most influential feature for HHV prediction, while temperature, water content, and fixed carbon were key drivers of yield. These results validate the effectiveness of gradient boosting models, particularly CatBoost, in accurately modeling hydrothermal carbonization outcomes and supporting data-driven biomass valorization strategies.",https://link.springer.com/article/10.1186/s40643-025-00979-1
43,Empowering Glioma Prognosis With Transparent Machine Learning and Interpretative Insights Using Explainable AI,"Anisha Palkar, Cifha Crecil Dias, Krishnaraj Chadaga, Niranjana Sampathila",2024,"Abstract

The primary objective of this research is to create a reliable technique to determine whether a patient has glioma, a specific kind of brain tumour, by examining various diagnostic markers, using a variety of machine learning as well as deep learning approaches, and involving XAI (explainable artificial intelligence) methods. Through the integration of patient data, including medical records, genetic profiles, algorithms using machine learning have the ability to predict how each individual will react to different medical interventions. To guarantee regulatory compliance and inspire confidence in AI-driven healthcare solutions, XAI is incorporated. Machine learning methods employed in this study includes Random Forest, decision trees, logistic regression, KNN, Adaboost, SVM, Catboost, LGBM classifier, and Xgboost whereas the deep learning methods include ANN and CNN. Four alternative XAI strategies, including SHAP, Eli5, LIME, and QLattice algorithm, are employed to comprehend the predictions of the model. The Xgboost, a ML model achieved accuracy, precision, recall, f1 score, and AUC of 88%, 82%, 94%, 88%, and 92%, respectively. The best characteristics according to XAI techniques are IDH1, Age at diagnosis, PIK3CA, ATRX, PTEN, CIC, EGFR and TP53. By applying data analytic techniques, the objective is to provide healthcare professionals with practical tool that enhances their capacity for decision-making, enhances resource management, and ultimately raises the bar for patient care. Medical experts can customise treatments and improve patient outcomes by taking into account patient’s particular characteristics. XAI provides justifications to foster faith amongst patients and medical professionals who must rely on AI-assisted diagnosis and treatment recommendations.",https://ieeexplore.ieee.org/document/10445227/
44,Machine learning in predicting heart failure survival: a review of current models and future prospects,"Emmanuel Kokori, Ravi Patel, Gbolahan Olatunji, Bonaventure Michael Ukoaka, Israel Charles Abraham, Victor Oluwatomiwa Ajekiigbe, Julia Mimi Kwape, Adetola Emmanuel Babalola, Ntishor Gabriel Udam, Nicholas Aderinto",10 December 2024,"Abstract
Heart failure is a complex and prevalent condition with significant implications for patient management and survival prediction. Traditional predictive models often fall short in accuracy due to their reliance on pre-specified predictors and assumptions of variable independence. This review aims to assess the role of machine learning (ML) algorithms in predicting heart failure survival, comparing their performance with traditional statistical methods and identifying key predictive features. We conducted a review of studies utilizing ML algorithms for heart failure survival prediction. Data were sourced from PubMed/MEDLINE, Google Scholar, ScienceDirect, Embase, DOAJ, and the Cochrane Library, covering studies published until July 2024. A total of 10 studies were reviewed, encompassing 468,171 patients with heart failure. ML algorithms, particularly random forests and gradient boosting methods, demonstrated superior performance compared to traditional statistical models. These algorithms effectively identified key risk factors and stratified patients into risk categories with high accuracy. Notably, extreme learning machine (ELM) and CatBoost models showed exceptional predictive capabilities, as indicated by metrics such as Harrell’s concordance index (C-index) and area under the curve (AUC). Key predictive features included ejection fraction (EF), serum creatinine (S Cr), and blood urea nitrogen (BUN). ML algorithms offer significant advantages in predicting heart failure survival by uncovering complex patterns and improving risk stratification. Their integration into clinical practice could lead to more personalized treatment strategies and enhanced patient outcomes. However, challenges such as data quality, model interpretability, and integration into clinical workflows need to be addressed.",https://link.springer.com/article/10.1007/s10741-024-10474-y
38,Smart Pricing in Online Marketplaces: A Machine Learning and Analytics Framework,"Faysal Ahmed, Humayra Akter, Afranan Bintha Rahman, Arindam Chatterjee, T. M. Shahriar Sazzad",2025,"Abstract

Accurately predicting prices of electronic devices in online marketplaces is essential for keeping prices fair and competitive. For sellers, it supports to set prices that are attractive to buyers after keeping profit. For buyers, it helps to ensure that they pay a fair amount for the actual value of the product. As e-commerce is growing continuously, such data-driven pricing has become important for decision-making on both sides of the market. This research focuses on laptops and represents a machine learning-based approach to estimate prices using hardware specifications. In total, fourteen regression models are evaluated. The proposed stacked ensemble model which is combining Linear Regression, Ridge Regression, RANSAC Regression, Decision Tree and Histogram-Based Gradient Boosting achieved the best performance with the value of $\mathbf{R}^{\mathbf{2}} \mathbf{8 6 3 3}$. To make it practical, the final model is deployed as a Streamlit web application, which allows users to enter laptop specifications and give real-time price predictions. Although this work focuses on laptops, the same approach can be extended to other electronic devices. Therefore, it is a flexible and scalable pricing tool for e-commerce platforms.",https://ieeexplore.ieee.org/abstract/document/11367595/
39,Estimating solubility of nitrogen in various ionic liquids: application of machine-learning,"Kassem Al Attabi, Farzona Alimova, Anupam Yadav, H. S. Shreenidhi, Abhinav Kumar, Devendra Singh, Vatsal Jain, Zainab Ahmed Hamodi, Aseel Smerat, Ahmad Khalid",16 February 2026,"Abstract
The limited solubility of nitrogen (N2) in conventional solvents such as water severely restricts the efficiency of ammonia synthesis, motivating the search for alternative media. Ionic liquids (ILs), with their tunable physicochemical properties, offer a promising solution, yet the vast chemical diversity of cations and anions makes experimental screening highly complex. This study aims to develop robust machine-learning models capable of accurately predicting N2 solubility in diverse ILs using COSMO-based descriptors. A comprehensive set of algorithms, including Artificial Neural Networks (ANNs), Convolutional Neural Networks (CNNs), Random Forests, CatBoost, Support Vector Regression (SVR), and others underwent training and validation with a dataset comprising 385 points in total, with performance assessed via numerous metrics and visual analyses. The results demonstrate that ANN, CNN, Random Forest, CatBoost, and SVR achieved superior predictive performance, with SHAP analysis identifying pressure and specific descriptors (e.g., S5) as dominant factors influencing solubility. The novelty of this work lies in integrating advanced ML models with interpretable SHAP-based analysis, providing both predictive accuracy and mechanistic insights into N2–IL interactions. While challenges remain due to the limited size of available datasets and the immense diversity of IL structures, this study highlights the potential of data-driven approaches to accelerate IL design. Future perspectives include expanding experimental databases and incorporating hybrid physics-informed ML frameworks to further enhance generalizability and guide rational IL development for energy and environmental applications.",https://link.springer.com/article/10.1007/s11696-025-04623-2
40,An extensive experimental analysis for heart disease prediction using artificial intelligence techniques,"D. Rohan, G. Pradeep Reddy, Y. V. Pavan Kumar, K. Purna Prakash, Ch. Pradeep Reddy",20 February 2025,"Abstract
The heart is an important organ that plays a crucial role in maintaining life. Unfortunately, heart disease is one of the major causes of mortality globally. Early and accurate detection can significantly improve the situation by enabling preventive measures and personalized healthcare recommendations. Artificial intelligence is emerging as a powerful tool for healthcare applications, particularly in predicting heart diseases. Researchers are actively working on this, but challenges remain in achieving accurate heart disease prediction. Therefore, experimenting with various models to identify the most effective one for heart disease prediction is crucial. In this view, this paper addresses this need by conducting an extensive investigation of various models. The proposed research considered 11 feature selection techniques and 21 classifiers for the experiment. The feature selection techniques considered for the research are Information Gain, Chi-Square Test, Fisher Discriminant Analysis (FDA), Variance Threshold, Mean Absolute Difference (MAD), Dispersion Ratio, Relief, LASSO, Random Forest Importance, Linear Discriminant Analysis (LDA), and Principal Component Analysis (PCA). The classifiers considered for the research are Logistic Regression, Decision Tree, Random Forest, K-Nearest Neighbors (KNN), Support Vector Machine (SVM), Gaussian Naïve Bayes (GNB), XGBoost, AdaBoost, Stochastic Gradient Descent (SGD), Gradient Boosting Classifier, Extra Tree Classifier, CatBoost, LightGBM, Multilayer Perceptron (MLP), Recurrent Neural Network (RNN), Long Short-Term Memory (LSTM), Gated Recurrent Unit (GRU), Bidirectional LSTM (BiLSTM), Bidirectional GRU (BiGRU), Convolutional Neural Network (CNN), and Hybrid Model (CNN, RNN, LSTM, GRU, BiLSTM, BiGRU). Among all the extensive experiments, XGBoost outperformed all others, achieving an accuracy of 0.97, precision of 0.97, sensitivity of 0.98, specificity of 0.98, F1 score of 0.98, and AUC of 0.98.",https://www.nature.com/articles/s41598-025-90530-1
45,www.tandfonline.com,,N/A,https://www.tandfonline.com/doi/abs/10.1080/10942912.2025.2558009,https://www.tandfonline.com/doi/abs/10.1080/10942912.2025.2558009
46,Predicting the risk of depression in older adults with disability using machine learning: an analysis based on CHARLS data,"Tongtong Jin, Ayitijiang· Halili",2025/07/02,"Abstract

Background: The advancement of artificial intelligence technologies has opened new avenues for depression prevention and management in older adults with disability (defined by basic or instrumental activities of daily living, BADL/IADL). This study systematically developed machine learning (ML) models to predict depression risk in disabled elderly individuals using longitudinal data from the China Health and Retirement Longitudinal Study (CHARLS), providing a potentially generalizable tool for early screening.

Methods: This study utilized longitudinal data from the CHARLS 2011–2015 cohort. A three-stage serial consensus approach feature selection framework (LASSO, Elastic Net, and Boruta) was employed to identify 21 robust predictors from 74 candidate variables. Ten ML algorithms were evaluated: LR, HistGBM, MLP, XGBoost, bagging, DT, LightGBM, RF, SVM, and CatBoost. Temporal external validation was performed using an independent 2018–2020 cohort to assess model generalizability. Performance was comprehensively evaluated using accuracy, AUC, F1-score, precision, and recall metrics. The SHAP framework was employed to interpret feature contribution mechanisms.

Results: 

Results demonstrated that the HistGBM model achieved optimal overall performance on the testing sets (AUC = 0.779, F1-score = 0.735, accuracy = 0.713), with only an 8.5% AUC difference between training and testing sets and a 10% difference between external validation and testing sets, indicating temporal stability. SHAP interpretability analysis revealed that sleep time (mean SHAP value = 0.344) in the health behavior domain and life satisfaction (0.339) and episodic memory (0.220) in the subjective perception domain contributed more significantly to prediction than traditional biomedical indicators.

Conclusion: This study developed an AI-based tool for depression risk assessment in older adults with disability through a multi-stage feature selection process and a temporal external validation framework. These findings provide a practical screening instrument and a methodological reference for implementing AI technologies in geriatric mental health applications, thereby facilitating clinical translation of predictive analytics in this field.",https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1624171/full
41,www.tandfonline.com,,N/A,https://www.tandfonline.com/doi/abs/10.1080/10255842.2025.2570510,https://www.tandfonline.com/doi/abs/10.1080/10255842.2025.2570510
