SL NO.,Title,Authors,Published Year,Abstract,Paper Link
35,Artificial Intelligence and Machine Learning Approaches for Indoor Air Quality Prediction: A Comprehensive Review of Methods and Applications,"Dominik Latoń, Jakub Grela, Andrzej Ożadowicz, Lukasz Wisniewski",30-Sep-25,"Abstract

Indoor air quality (IAQ) is a critical determinant of health, comfort, and productivity, and is strongly connected to building energy demand due to the role of ventilation and air treatment in HVAC systems. This review examines recent applications of Artificial Intelligence (AI) and Machine Learning (ML) for IAQ prediction across residential, educational, commercial, and public environments. Approaches are categorized by predicted parameters, forecasting horizons, facility types, and model architectures. Particular focus is given to pollutants such as CO2, PM2.5, PM10, VOCs, and formaldehyde. Deep learning methods, especially the LSTM and GRU networks, achieve superior accuracy in short-term forecasting, while hybrid models integrating physical simulations or optimization algorithms enhance robustness and generalizability. Importantly, predictive IAQ frameworks are increasingly applied to support demand-controlled ventilation, adaptive HVAC strategies, and retrofit planning, contributing directly to reduced energy consumption and carbon emissions without compromising indoor environmental quality. Remaining challenges include data heterogeneity, sensor reliability, and limited interpretability of deep models. This review highlights the need for scalable, explainable, and energy-aware IAQ prediction systems that align health-oriented indoor management with energy efficiency and sustainability goals. Such approaches directly contribute to policy priorities, including the EU Green Deal and Fit for 55 package, advancing both occupant well-being and low-carbon smart building operation.",https://www.mdpi.com/1996-1073/18/19/5194
36,New hybrid multi-objective feature selection: Boruta-XGBoost,"Tohid Yousefi, Özlem Varlıklar",28-Jan-26,"Abstract

In the era of data-intensive science, feature selection has become a cornerstone of building robust machine learning models, particularly in biomedical fields where datasets are often high-dimensional. The process of identifying a subset of relevant and non-redundant features is not merely a means of reducing computational overhead; it is crucial for enhancing model accuracy, preventing overfitting, and improving the interpretability of results. Despite its importance, finding an optimal feature subset remains a significant challenge. This study introduces and validates a novel two-stage hybrid framework, named Boruta-XGBoost (Boruta-Extreme Gradient Boosting), designed to synergize feature selection and prediction. We demonstrate the efficacy of this framework on the complex task of estimating body fat percentage, a problem characterized by correlated anatomical predictors. Our primary goal is to benchmark its performance against a comprehensive suite of established machine learning algorithms. Our proposed framework unfolds in two distinct stages. Initially, we leverage the Boruta algorithm—a powerful wrapper method based on Random Forest—to systematically identify all statistically relevant features. This step ensures that no potentially important variables, including those with subtle interaction effects, are prematurely discarded. Subsequently, an Extreme Gradient Boosting (XGBoost) model is trained exclusively on this refined feature subset. To establish a robust benchmark, we evaluated 16 other models (six linear and 10 non-linear) using the complete feature set. All models were assessed via a 70/30 train-test split and validated using 10-fold cross-validation, with the coefficient of determination (R2) and Root Mean Square Error (RMSE) serving as the primary performance metrics. When trained on the full set of features, the best-performing conventional model—non-linear support vector regression—yielded an R2 of 0.77. In striking contrast, our Boruta-XGBoost framework achieved a markedly superior R2 of 0.88 and a correspondingly lower RMSE. A key finding is that this enhanced predictive accuracy was accomplished using just six features (representing only 46% of the original 13), which were autonomously identified by the Boruta stage.

Conclusion
Our results compellingly demonstrate that the proposed Boruta-XGBoost hybrid framework offers a substantial improvement over conventional modeling approaches. By intelligently decoupling feature selection from prediction, our method constructs a more parsimonious and powerful model. This two-stage strategy underscores the value of integrating rigorous statistical feature filtering with state-of-the-art predictive algorithms, presenting a potent and generalizable approach for tackling complex prediction problems.",https://peerj.com/articles/cs-3463/
37,The Role of Machine Learning in Enhancing Particulate Matter Estimation: A Systematic Literature Review,"Amjad Alkhodaidi, Afraa Attiah, Alaa Mhawish, Abeer Hakeem",15-Oct-24,"Abstract

As urbanization and industrial activities accelerate globally, air quality has become a pressing concern, particularly due to the harmful effects of particulate matter (PM), notably PM2.5 and PM10. This review paper presents a comprehensive systematic assessment of machine learning (ML) techniques for estimating PM concentrations, drawing on studies published from 2018 to 2024. Traditional statistical methods often fail to account for the complex dynamics of air pollution, leading to inaccurate predictions, especially during peak pollution events. In contrast, ML approaches have emerged as powerful tools that leverage large datasets to capture nonlinear, intricate relationships among various environmental, meteorological, and anthropogenic factors. This review synthesizes findings from 32 studies, demonstrating that ML techniques, particularly ensemble learning models, significantly enhance estimation accuracy. However, challenges remain, including data quality, the need for diverse and balanced datasets, issues related to feature selection, and spatial discontinuity. This paper identifies critical research gaps and proposes future directions to improve model robustness and applicability. By advancing the understanding of ML applications in air quality monitoring, this review seeks to contribute to developing effective strategies for mitigating air pollution and protecting public health.",https://www.mdpi.com/2227-7080/12/10/198
38,Detecting Thyroid Disease Using Optimized Machine Learning Model Based on Differential Evolution,"Punit Gupta, Furqan Rustam, Khadija Kanwal, Wajdi Aljedaani, Sultan Alfarhood, Mejdl Safran, Imran Ashraf",3-Jan-24,"Abstract
Thyroid disease has been on the rise during the past few years. Owing to its importance in metabolism, early detection of thyroid disease is a task of critical importance. Despite several existing works on thyroid disease detection, the problem of class imbalance is not investigated very well. In addition, existing studies predominantly focus on the binary-class problem. This study aims to solve these issues by the proposed approach where ten types of thyroid diseases are considered. The proposed approach uses a differential evolution (DE)-based optimization algorithm to fine-tune the parameters of machine learning models. Moreover, conditional generative adversarial networks are used for data augmentation. Several sets of experiments are carried out to analyze the performance of the proposed approach with and without model optimization. 

Results suggest that a 0.998 accuracy score can be obtained using AdaBoost with DE optimization which is better than existing state-of-the-art models.",https://link.springer.com/article/10.1007/s44196-023-00388-2
39,Application of machine learning techniques for multi-class classification performance on mental disorders,Ümit Can,2026,"Abstract

The contemporary social framework is predicated on a fiercely competitive system, which amplifies individual pressure and subsequently elevates the incidence of mental diseases, significantly affecting public health. Consequently, governmental and non-governmental groups allocate considerable resources to tackle these concerns. The precise identification of such illnesses via artificial intelligence techniques has become critically significant. These methodologies, widely used across several healthcare sectors, have been increasingly adopted in psychiatry. Evaluating psychiatric data to forecast disease accurately enables doctors to make better decisions and establishes a robust decision-support framework. This work employed prevalent machine learning techniques to identify mental illnesses utilizing a dataset with labels for seven distinct mental states—six disorders and one normative condition. The approaches were initially evaluated on an imbalanced dataset and subsequently on a balanced dataset, facilitating comparison of the outcomes. Among Categorical Boosting, Gradient Boosting, Extreme Gradient Boosting, Support Vector Machine, and Logistic Regression, the Support Vector Machine method demonstrated superior performance on both balanced and imbalanced datasets.",https://dergipark.org.tr/en/pub/ijpas/article/1925035
40,"Predicting blue water footprint and green water footprint of orange in Nile Delta based on single, hybrid, and stacking hybridization machine learning algorithms under diverse agro-climatic conditions","Ashrakat A. Lotfy, Mohamed E. Abuarab, Eslam Farag, Bilal Derardja, Roula Khadra, Ahmed A. Ayoub, Ali Mokhtar",13-Feb-26,"Abstract
This study aims to investigate the effects of climate change on the Blue water footprint (BWFP) and Green water footprint (GWFP) of oranges in the El-Beheira and Al-Sharkia governorates in the Nile Delta using data from 2013 to 2022. Various machine learning (ML) models, including LASSO, RF, XGB, and CATBOOST, as well as hybrid models like XGB-RF, RF-LASSO-CAT-LASSO, XGB-LASSO, XGB-CAT, XGB-CAT-LASSO, XGB-RF-LASSO, and stacked ensemble models, were employed to assess the impact of climate change in Egypt and determine the most accurate model for predicting BWFP and GWFP of orange crops. The models were tested under different scenarios (Sc) involving climate parameters, crop parameters, and remote sensing indices (Normalized Difference Vegetative Index (NDVI), Normalized Difference Moisture Index (NDMI), Enhanced vegetation index (EVI), Soil-adjusted Vegetation Index (SAVI), Green Chlorophyll Index (GCI), and Land Surface Temperature (LST)). The CatBoost-RF hybrid model in Sc5 (Peeff, Tmax) showed the highest accuracy of 1.00 for BWFP, while the LASSO model in Sc3 had the lowest accuracy of 0.846. For GWFP, all hybrid models achieved a maximum accuracy of 1.0. The R2 value for predicting BWFP was highest at 0.98 under Sc2 using RF-LASSO hybrid models and lowest at 0.63 under Sc3 with RF. As for GWFP, the highest R2 value of 1.0 was obtained under Sc1 with XGB-CatBoost-LASSO, while the lowest value of 0.07 was seen under Sc3 with XGB-RF-LASSO. The lowest RMSE value of 0.15 was observed with the RF-LASSO hybrid model, while the highest value of 0.31 was seen with the LASSO model in Sc2 for BWFP. For GWFP, the minimum and maximum RMSE values were 0.01 and 0.06 under XGB-RF-LASSO and CatBoost models, respectively, in Sc4 (Peeff, Tmax, Tmin). The study suggests utilizing hybrid models, either double or triple, especially for RF-LASSO and XGB-CAT-LASSO, to effectively predict the BWFP and GWFP of oranges in arid regions.",https://link.springer.com/article/10.1007/s13201-025-02725-6
41,Predicting consumer loan default risk and systemic risk in financial institutions through machine learning techniques: a systematic literature review,"Ahmad Yar, Muhammad Usman",2026,"Abstract

Purpose
                    This study aims to systematically review the application of machine learning (ML) techniques in predicting two major categories of financial risk: consumer loan default risk (CLDR) and systemic risk (SR) arising from institutional interconnectedness. The purpose is to identify the dominant models and methodological trends that define the current research landscape.
                  
                  
                    Design/methodology/approach
                    Using the preferred reporting items for systematic reviews and meta-analyses framework, this review initially retrieved 130 journal articles from the Scopus database, of which 50 met the inclusion criteria. The selected studies were comparatively analyzed to identify common prevailing ML techniques, data sets and evaluation metrics used for predicting CLDR and SR.
                  
                  
                    Findings
                    The review finds that models such as decision trees, support vector machines, naïve Bayes, random forest, LightGBM, XGBoost and artificial neural networks dominate CLDR prediction research. For SR, complex network embeddings methods, graph neural networks, recurrent neural networks (RNN), convolutional neural networks and network centrality measures are prevalent.
                  
                  
                    Research limitations/implications
                    The review also identifies contextual limitations and recommends incorporating hybrid models that combine deep learning with tree-based algorithms and explainable artificial intelligence interpretability for CLDR prediction. For SR, multivariate RNN-based models are recommended, and network-based analyses should be extended to include nonbank intermediaries, incorporating macroeconomic factors, policy environments and broader data sets in future research.
                  
                  
                    Practical implications
                    The findings offer valuable insights for implementing accurate, interpretable ML models to improve loan approval processes, credit risk monitoring and SR mitigation strategies.
                  
                  
                    Social implications
                    Enhanced financial risk prediction can strengthen economic stability, protect consumers from default and mitigate systemic crises, while interpretable ML models promote transparency and trust in automated financial decisions.
                  
                  
                    Originality/value
                    This study offers a comprehensive synthesis of ML approaches to financial risk prediction, emphasizing hybrid models, interpretability and broader systemic analysis. It serves as a guide for researchers and practitioners to develop more robust and context-aware predictive frameworks in financial institutions.",https://www.emerald.com/jm2/article/doi/10.1108/JM2-07-2025-0378/1384049
42,onlinelibrary.wiley.com,"Q Zhang, Y Yang, Q Hou, Q Shi, Y Yi, X Gan, X Gao",2026,"Abstract ABSTRACT
The integration of machine learning into environmental, social, and governance (ESG) research has gained significant traction, offering advanced predictive capabilities, enhanced decision‐making, and improved transparency in sustainable finance. Despite a growing body of literature, no systematic effort has been made to comprehensively map the intersection of ESG and machine learning. This study conducts a systematic literature review, synthesizing insights from 57 high‐quality articles published between 2004 and 2024 on the Web of Science and Scopus. Employing bibliometric analysis, thematic analysis, and the TCCM framework, this study identifies dominant research themes, methodological advancements, and persistent gaps in ESG‐machine learning literature. Findings reveal the increasing application of machine learning in ESG score prediction, risk assessment, investment decision‐making, and controversy detection while highlighting key challenges such as data standardization, model explainability, and algorithmic bias. Random Forest consistently demonstrated the highest prediction accuracy across several studies. This study offers valuable implications for academics, practitioners, and policymakers, providing a structured foundation for advancing ESG analytics and fostering responsible artificial intelligence‐driven sustainability strategies.",https://onlinelibrary.wiley.com/doi/abs/10.1002/csr.70089
43,Towards a Data-Driven Approach for Early Identification of High-Risk Differentiated Thyroid Cancer Using Clinicopathologic Features,"Tahmima Hoque Eid, Ashim Dey",2026,"Abstract

Differentiated thyroid cancer (DTC) is primarily categorized into papillary and follicular types. It generally exhibits a good long-term prognosis, but some patients experience recurrence that adversely affects their health and treatment options. To facilitate the early detection of patients at greater risk, we propose an interpretable machine learning-based approach that combines domain-informed clinicopathologic encoding, foldwise handling of class imbalance, and ensemble learning with cross-validated model interpretation. We assessed multiple models across outer test folds, with the Bagging Classifier showing the best overall performance under nested cross-validation, yielding an accuracy of <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\mathbf{9 6. 1 \%}$</tex> and an F1-score of <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\mathbf{9 2. 9 1 \%}$</tex>. Moreover, we applied three diverse models using standardized <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\mathbf{T}$</tex> and <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$\mathbf{N}$</tex> staging features and analyzed model decisions with SHAP. Nodal status (N) and tumor size (T) were the key staging predictors, exhibiting notable cross-interactions. They also interacted with clinical features such as Response and Risk, highlighting their combined association with recurrence risk. By integrating strong predictive performance with case-specific insights, this framework provides meaningful risk stratification and improves interpretability for healthcare practitioners. Before implementing this methodology in standard practice, multicenter validation and the inclusion of additional clinical biomarkers are essential.",https://ieeexplore.ieee.org/abstract/document/11546215/
44,Recent advances in machine learning for the design and performance prediction of corrosion inhibitors,"…, ZE Jumaeva, AI Kholboyeva…",2026,"Abstract Photocatalytic wastewater treatment is a promising technology for degrading persistent organic pollutants; however, its optimization remains challenging because photocatalytic performance depends on complex interactions among catalyst properties, operating conditions, and wastewater composition. Machine learning (ML) has emerged as a powerful tool for accelerating catalyst development, predicting photocatalytic performance, and optimizing process parameters. This review critically analyzes recent studies on ML-assisted photocatalytic wastewater treatment, covering supervised learning, ensemble learning, deep learning, and hybrid optimization approaches for predicting degradation efficiency, reaction kinetics, and catalyst performance. Rather than simply summarizing existing studies, the review compares the strengths, limitations, and applicability of different ML models while evaluating the influence of dataset quality, feature engineering, and validation strategies on predictive reliability. Emerging developments in explainable artificial intelligence, physics-informed machine learning, digital twins, and autonomous catalyst discovery are also discussed. Current challenges, including limited datasets, data heterogeneity, model overfitting, lack of standardized benchmarking, and poor transferability to real wastewater systems, are critically examined. Finally, future perspectives emphasizing standardized datasets, interpretable AI, rigorous model validation, and intelligent catalyst design are proposed. This review provides a practical roadmap for integrating artificial intelligence with photocatalysis to accelerate the development of reliable and sustainable wastewater treatment technologies.",https://www.researchgate.net/profile/Zebiniso-Qurbonova/publication/404926379_Recent_advances_in_machine_learning_for_the_design_and_performance_prediction_of_corrosion_inhibitors/links/6a0f38180fc2cb502285b327/Recent-advances-in-machine-learning-for-the-design-and-performance-prediction-of-corrosion-inhibitors.pdf
45,Utilizing machine learning algorithms for cardiovascular disease prediction: “Detailed analysis based on medical parameters”,"Mahesh Kumar Joshi, Deepak Dembla, Suman Bhatia",2025,"Abstract

Utilizing machine learning algorithms for cardiovascular disease prediction: “Detailed analysis based on medical parameters”, Joshi, Mahesh Kumar, Dembla, Deepak, Bhatia, Suman",https://iopscience.iop.org/article/10.1016/j.medengphy.2025.104347/meta
46,A Machine Learning-Based Model for Predicting Credit Facility Defaulters in Uganda,Muddu George,2024,"Abstract

Predicting credit facility defaulters in Uganda poses a significant challenge, particularly for individuals lacking formal banking histories. This study aims to address this gap by leveraging machine learning techniques on a diverse set of financial data, including mobile money transactions, FinTech services, and traditional banking records. By developing a more inclusive creditworthiness assessment tool, we seek to enhance financial inclusion for underserved populations. Several machine learning algorithms to predict loan defaults were evaluated, including Logistic Regression, Support Vector Machines (SVM), and Extreme Gradient Boosting (XGBoost). The XGBoost model emerged as the most effective, achieving an accuracy of 95.23%, a recall of 73.32%, a precision of 94.11%, and an AUC of 0.8119. In contrast, the Logistic Regression model attained an accuracy of 89.53%, with a significantly lower recall of 43.24% and precision of 66.59%. The SVM model performed moderately, with an accuracy of 93.21% and a recall of 62.80%, but it still fell short compared to XGBoost. The findings highlight the potential of advanced machine learning models like XGBoost to significantly improve credit scoring systems. By providing a more accurate and inclusive tool for credit evaluation, financial institutions and policymakers can better identify potential defaulters, mitigate loan defaults, and foster economic growth among underserved communities",https://ir.kiu.ac.ug/items/3c4bc5be-7e84-4926-b6d4-7a82ffa88610
47,Feature selection and classification in machine learning: methods and models for peer-to-peer lending,"M Atef, MI Gabr, W Seoud, S Ouf",2025,"Abstract A central problem in machine learning is identifying a representative set of features from which to construct a classification model for a particular task. This thesis addresses the problem of feature selection for machine learning through a correlation based approach. The central hypothesis is that good feature sets contain features that are highly correlated with the class, yet uncorrelated with each other. A feature evaluation formula, based on ideas from test theory, provides an operational definition of this hypothesis. CFS (Correlation based Feature Selection) is an algorithm that couples this evaluation formula with an appropriate correlation measure and a heuristic search strategy. CFS was evaluated by experiments on artificial and natural datasets. Three machine learning algorithms were used: C4.5 (a decision tree learner), IB 1 (an instance based learner), and naive Bayes. Experiments on artificial datasets showed that CFS quickly identifies and screens irrelevant, redundant, and noisy features, and identifies relevant features as long as their relevance does not strongly depend on other features. On natural domains, CFS typically eliminated well over half the features. In most cases, classification accuracy using the reduced feature set equaled or bettered accuracy using the complete feature set. Feature selection degraded machine learning performance in cases where some features were eliminated which were highly predictive of very small areas of the instance space. Further experiments compared CFS with a wrapper - a well known approach to feature selection that employs the target learning algorithm to evaluate feature sets. In many cases CFS gave comparable results to the wrapper, and in general, outperformed the wrapper on small datasets. CFS executes many times faster than the wrapper, which allows it to scale to larger datasets. Two methods of extending CFS to handle feature interaction are presented and experimentally evaluated. The first considers pairs of features and the second incorporates feature weights calculated by the RELIEF algorithm. Experiments on artificial domains showed that both methods were able to identify interacting features. On natural domains, the pairwise method gave more reliable results than using weights provided by RELIEF.",https://msamsj.journals.ekb.eg/article_445111.html
48,Machine learning-assisted construction of COPD self-evaluation questionnaire (COPD-EQ): a national multicentre study in China,"Yiming Ma, Zijie Zhan, Yahong Chen, Jing Zhang, Wen Li, Zhiyi He, Jungang Xie, Haijin Zhao, Anping Xu, Kun Peng, Gang Wang, Qingping Zeng, Ting Yang, Yan Chen, Chen Wang",2025,"Abstract

Background Approximately 70% of chronic obstructive pulmonary disease (COPD) is underdiagnosed worldwide. We aimed to develop and validate a COPD self-evaluation questionnaire (COPD-EQ) that is better suited for COPD screening in China. 

Methods We developed a primary version of COPD-EQ based on the Delphi method. Then, we conducted a nationwide multicentre prospective to validate our novel COPD-EQ screening ability. To improve the screening ability of COPD-EQ, we used a series of machine learning (ML)-based methods, including logistic regression, XgBoost, LightGBM, and CatBoost. These models were developed and then evaluated on a random 3:1 train/test split. 

Results Through the Delphi approach, we developed the primary version of COPD-EQ with nine items. In the following prospective multicentre study, we recruited 1824 outpatients from 12 sites, of whom 404 (22.1%) were diagnosed with COPD. After the score assignment assisted by ML models and the Shapley Additive Explanation method, six of nine items were retained for a briefer version of COPD-EQ. The scoring-based method achieves an AUC score of 0.734 at a threshold of 4.0. Finally, a novel six-item COPD-EQ questionnaire was developed. 

Conclusions The COPD-EQ questionnaire was validated to be reliable and accurate in COPD screening for the Chinese population. The ML model can further improve the questionnaire’s screening ability.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11699521/
49,Artificial Intelligence and Machine Learning Approaches for Indoor Air Quality Prediction: A Comprehensive Review of Methods and Applications,"Dominik Latoń, Jakub Grela, Andrzej Ożadowicz, Lukasz Wisniewski",30-Sep-25,"Abstract

Indoor air quality (IAQ) is a critical determinant of health, comfort, and productivity, and is strongly connected to building energy demand due to the role of ventilation and air treatment in HVAC systems. This review examines recent applications of Artificial Intelligence (AI) and Machine Learning (ML) for IAQ prediction across residential, educational, commercial, and public environments. Approaches are categorized by predicted parameters, forecasting horizons, facility types, and model architectures. Particular focus is given to pollutants such as CO2, PM2.5, PM10, VOCs, and formaldehyde. Deep learning methods, especially the LSTM and GRU networks, achieve superior accuracy in short-term forecasting, while hybrid models integrating physical simulations or optimization algorithms enhance robustness and generalizability. Importantly, predictive IAQ frameworks are increasingly applied to support demand-controlled ventilation, adaptive HVAC strategies, and retrofit planning, contributing directly to reduced energy consumption and carbon emissions without compromising indoor environmental quality. Remaining challenges include data heterogeneity, sensor reliability, and limited interpretability of deep models. This review highlights the need for scalable, explainable, and energy-aware IAQ prediction systems that align health-oriented indoor management with energy efficiency and sustainability goals. Such approaches directly contribute to policy priorities, including the EU Green Deal and Fit for 55 package, advancing both occupant well-being and low-carbon smart building operation.",https://www.mdpi.com/1996-1073/18/19/5194
50,The Role of Machine Learning in Enhancing Particulate Matter Estimation: A Systematic Literature Review,"Amjad Alkhodaidi, Afraa Attiah, Alaa Mhawish, Abeer Hakeem",15-Oct-24,"Abstract

As urbanization and industrial activities accelerate globally, air quality has become a pressing concern, particularly due to the harmful effects of particulate matter (PM), notably PM2.5 and PM10. This review paper presents a comprehensive systematic assessment of machine learning (ML) techniques for estimating PM concentrations, drawing on studies published from 2018 to 2024. Traditional statistical methods often fail to account for the complex dynamics of air pollution, leading to inaccurate predictions, especially during peak pollution events. In contrast, ML approaches have emerged as powerful tools that leverage large datasets to capture nonlinear, intricate relationships among various environmental, meteorological, and anthropogenic factors. This review synthesizes findings from 32 studies, demonstrating that ML techniques, particularly ensemble learning models, significantly enhance estimation accuracy. However, challenges remain, including data quality, the need for diverse and balanced datasets, issues related to feature selection, and spatial discontinuity. This paper identifies critical research gaps and proposes future directions to improve model robustness and applicability. By advancing the understanding of ML applications in air quality monitoring, this review seeks to contribute to developing effective strategies for mitigating air pollution and protecting public health.",https://www.mdpi.com/2227-7080/12/10/198
51,Application of machine learning techniques for multi-class classification performance on mental disorders,Ümit Can,2026,"Abstract

The contemporary social framework is predicated on a fiercely competitive system, which amplifies individual pressure and subsequently elevates the incidence of mental diseases, significantly affecting public health. Consequently, governmental and non-governmental groups allocate considerable resources to tackle these concerns. The precise identification of such illnesses via artificial intelligence techniques has become critically significant. These methodologies, widely used across several healthcare sectors, have been increasingly adopted in psychiatry. Evaluating psychiatric data to forecast disease accurately enables doctors to make better decisions and establishes a robust decision-support framework. This work employed prevalent machine learning techniques to identify mental illnesses utilizing a dataset with labels for seven distinct mental states—six disorders and one normative condition. The approaches were initially evaluated on an imbalanced dataset and subsequently on a balanced dataset, facilitating comparison of the outcomes. Among Categorical Boosting, Gradient Boosting, Extreme Gradient Boosting, Support Vector Machine, and Logistic Regression, the Support Vector Machine method demonstrated superior performance on both balanced and imbalanced datasets.",https://dergipark.org.tr/en/pub/ijpas/article/1925035
52,"Predicting blue water footprint and green water footprint of orange in Nile Delta based on single, hybrid, and stacking hybridization machine learning algorithms under diverse agro-climatic conditions","Ashrakat A. Lotfy, Mohamed E. Abuarab, Eslam Farag, Bilal Derardja, Roula Khadra, Ahmed A. Ayoub, Ali Mokhtar",13-Feb-26,"Abstract
This study aims to investigate the effects of climate change on the Blue water footprint (BWFP) and Green water footprint (GWFP) of oranges in the El-Beheira and Al-Sharkia governorates in the Nile Delta using data from 2013 to 2022. Various machine learning (ML) models, including LASSO, RF, XGB, and CATBOOST, as well as hybrid models like XGB-RF, RF-LASSO-CAT-LASSO, XGB-LASSO, XGB-CAT, XGB-CAT-LASSO, XGB-RF-LASSO, and stacked ensemble models, were employed to assess the impact of climate change in Egypt and determine the most accurate model for predicting BWFP and GWFP of orange crops. The models were tested under different scenarios (Sc) involving climate parameters, crop parameters, and remote sensing indices (Normalized Difference Vegetative Index (NDVI), Normalized Difference Moisture Index (NDMI), Enhanced vegetation index (EVI), Soil-adjusted Vegetation Index (SAVI), Green Chlorophyll Index (GCI), and Land Surface Temperature (LST)). The CatBoost-RF hybrid model in Sc5 (Peeff, Tmax) showed the highest accuracy of 1.00 for BWFP, while the LASSO model in Sc3 had the lowest accuracy of 0.846. For GWFP, all hybrid models achieved a maximum accuracy of 1.0. The R2 value for predicting BWFP was highest at 0.98 under Sc2 using RF-LASSO hybrid models and lowest at 0.63 under Sc3 with RF. As for GWFP, the highest R2 value of 1.0 was obtained under Sc1 with XGB-CatBoost-LASSO, while the lowest value of 0.07 was seen under Sc3 with XGB-RF-LASSO. The lowest RMSE value of 0.15 was observed with the RF-LASSO hybrid model, while the highest value of 0.31 was seen with the LASSO model in Sc2 for BWFP. For GWFP, the minimum and maximum RMSE values were 0.01 and 0.06 under XGB-RF-LASSO and CatBoost models, respectively, in Sc4 (Peeff, Tmax, Tmin). The study suggests utilizing hybrid models, either double or triple, especially for RF-LASSO and XGB-CAT-LASSO, to effectively predict the BWFP and GWFP of oranges in arid regions.",https://link.springer.com/article/10.1007/s13201-025-02725-6
53,www.tandfonline.com,"E Kokori, G Olatunji, N Aderinto, I Muogbo…",2024,"Abstract Accurate streamflow prediction is vital for water resource management, particularly in data-scarce tropical regions. This study develops a hybrid streamflow prediction framework that integrates the Light Gradient Boosting Model (LGBM) with metaheuristic optimization, feature selection techniques, and NASA POWER meteorological data for the Muda River Basin, Malaysia. The LGBM performed best with the Grey Wolf Optimizer (GWO) and Sequential Forward Selection (SFS) at Syed Omar Bridge (NSE = 0.83, RMSE = 20.38 m3/s, WI = 0.95, PBIAS = +2.93%), whereas at Ladang Victoria it achieved the highest accuracy using the Teaching–Learning-Based Optimizer (TLO) and Boruta feature selection method (NSE = 0.84, RMSE = 33.54 m3/s, WI = 0.95, PBIAS = −1.00%). Compared with baseline models, the optimized LGBM frameworks consistently reduced prediction errors, improved efficiency metrics, and minimized systematic bias. These findings demonstrate the potential of open-source, data-driven, optimized machine learning models for reliable streamflow prediction in tropical basins.",https://www.tandfonline.com/doi/abs/10.1080/02626667.2026.2674167
54,Estimated glucose disposal rate predicts frailty through diabetes: Evidence from machine learning and mediation models in NHANES,"Wentao Yang, Qian Cheng, Guoxin Huang, Hongming Lin",2025,"Abstract

Objective
As an emerging insulin resistance marker, the relationship between estimated glucose disposal rate (eGDR) and frailty needs further exploration. This study examines the eGDR-frailty link, develops a machine learning predictive model to address this gap, and explores diabetes mellitus (DM) as a mediator, providing new insights for clinical intervention.

Methods
Using National Health and Nutrition Examination Survey (NHANES) 2005–2010 data, we analyzed glucose disposal and frailty associations. Feature selection used LASSO, and class imbalance was handled by SMOTEN. The resampled data were split 7:3 into a training set (n = 29,309) and a test set (n = 12,561).Ten machine learning models were built, with discrimination, calibration, and clinical utility evaluated to identify the optimal model. Confusion matrices visualized performance. Mediation analysis assessed DM’s role in the eGDR-frailty relationship.

Results
Among 26,282 participants, eGDR negatively correlated with frailty. Higher eGDR significantly reduced frailty risk in subgroups: women, age ≤ 60, normal/high BMI, never/current smokers, and alcohol users. LASSO selected 12 predictors. Across 10 models, CatBoost performed best on the test set (AUC = 0.970, accuracy = 0.920, F1 = 0.918), with robust calibration and decision-curve net benefit. SHAP interpretation ranked eGDR among the most influential predictors: SHAP summary and dependence plots indicated that higher eGDR decreased the model’s predicted probability of frailty. Confusion matrices validated classification accuracy. Mediation analysis showed DM partially mediated the eGDR-frailty relationship: indirect effect β=−0.003 (95% CI −0.003 to −0.002; P < 0.001), mediation proportion = 8.71%.

Conclusion
This first NHANES-based study demonstrates a significant negative correlation between eGDR and frailty, confirming DM’s partial mediating role. The developed machine learning models effectively support early frailty risk assessment and intervention.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0333388
